text, target
อห.หมาหอน แล้วคนข้างบ้านตาย อห.อย่ามาหลอกนะ กูแช่งจริงๆด้วย กูไม่ได้โกหก😡🖕🖕,0
เป็นหมาก็ดีนะไม่ต้องโดนดุโดนบ่นโดนว่า ก็ดีอ่ะ,0
เหมือนหมาตัวนึงที่รอเจ้าของมาเล่นด้วยเวลาที่เขาว่างอ่ะ,0
เลือกเพื่อนนี่ ต้องดูให้ดีแค่ไหนวะ คนไหนจริงใจคนไหนตอแหล,0
คือหนูจะเป็นคนตอแหลแบบนี้ไปตลอดชีวิตเลยเหรอ,1
เวลาพูดแล้วไม่มีความจริงในนั้นอ่ะรู้สึกอะไรบ้างปะวะ หรือเพราะเป็นตอแหลเลยไม่รู้สึกอะไรเลย,1
บางคนออร่าตอแหลแรงมาก มองจากดาวอังคารลงมายังรู้เลยว่าไม่จริิงใจ,1
ต้องทักทายด้วยสีหน้าตอแหลยิ้มแย้มแจ่มใส กับสิ่งที่มึงทำกับกูงี้หรอ,1
สนุกจังโว้ยเวลาแช่งทีมอื่น,0
แอนตี้ดูมีความสุขกับการโดนด่า พอโดนด่าก็แถ พอโดนด่าว่าตอแหลก็รับไม่ได้ เอิ่มจ้าๆ,1
เก่งจริงก้มาต่อหน้า ไม่ต้องโพสต์ด่า ลูกหมาหน้าจอ😏#คำคม #คําคมโดนๆ #คำคมเด็ดๆ #คําคมชีวิต #คําคมเสี่ยว #คําคมแรงๆ #เก่งแต่ปากกากการกระทำ,1
แช่งให้พ่อแม่คนอื่นตายถ้าตอแหล แต่ดันโครมเข้าบ้านมึง สงสัยน่าจะได้กระเช้าแบบพวงหรีดเร็วๆนี้,1
ก็อย่างว่าแหละ คนพวกเดียวกัน มันก็อยู่ด้วยกันได้ไง ตอแหล ไร้สาระเหมือนกันไง,0
พอเถอะ อย่ามาตอแหลกับกูอีกเลย ไม่ได้อยู่ในฐานะที่ต้องมานั่งโกหกกันแล้วอ่ะ,1
ชีวิตเหมือนเกิดมานอนโง่ๆแล้วตายจากไป..,0
การเปิดใจกลับกลายเป็นความโง่,0
หลายคนวิเคราะห์มีหลักการมาก แต่เราก็ไม่เข้าใจอยู่ดีค่ะ เราโง่,0
ไม่อยากไปรร.อ่ะ ปวดหัว ปวดตีนปวดตีนด้วยความโครตโง่,0
เหี้ยไม่พอ โง่ซ้ำซาก,1
เจ้าภาพมาเลเซียแม่งโง่วะ ยุคโซเชี่ยลแทนที่จะทำดีๆ คนจะได้กลับไปท่องเที่ยวอัก นี่เหี้ยทั้งโรงแรม ทั้งน้ำใจ.,1
- ยอมให้ ไม่ได้หมายความว่าโง่,0
อย่าไปโชว์ความโง่ของตัวเองให้คนอื่นดูเลย,0
แล้วอีกอย่างนะ เห็นคนนั้น คนนี้ทำอะไรแล้วได้เงิน พอทำเองบ้างเสือกเจ๊ง แล้วมาว่าคนไม่ดี โง่เองป่าววะ,0
มีเวลาก็หัดศึกษาเองบ้างสิคะ อิโง่ คนเค้ารู้เค้าถึงตอบ ไม่รุแล้วมาเหวี่ยงใช่เรื่องป่ะ ทุเรส ออกงานมีเวลาก็หัดดูเอง ไม่ใช่รอให้คนอื่นมาประเคน,1
ประชาชนเลว ประชาชนชอบใส่ร้าย ประชาชนโง่ ประชาชนถูกจ้างมา ทหารคนดีมากครับ pic.twitter.com/9FyOibUGLX,1
ทำไมมันชอบบ่นว่าตัวเองอ้วน ควรบ่นความตอแหลตัวเองมากกว่า,1
ใน ทวต. นี่มันก็ฮาดีนะมันจะมีคนโง่ในโง่อีกที ที่คนฟอลเยอะๆและทำตัวเหมือนรู้ทุกสิ่งอะ แต่เสือกเป็นคนที่โง่มากๆในสายตาของคนที่รู้ความจริง😒,1
อวยพรไปงั้นอ่ะ ในใจกูแช่งให้พวกมึงไปกันไม่รอดอยู่ รู้ไว้ไอ่โง่,1
ไม่มีสัจจะในหมู่คนเลวนะอีหนู!!!,0
ยามบ้านเมืองวิกฤติ ดี เลว ถูก ผิด มองไม่ชัด มีแต่ แข็ง อ่อน สูง ต่ำ รวย จน และผู้พิชิตคือวีรบุรุษ ผู้แพ้คือโจร (โจโฉ),0
เห็นแฟนเปลี่ยนสีผม นี่เลยไปทำสีบ้าง สีพลาดไปรอบนึงต้องแก้ใหม่😂😂😂 สุดท้ายสีที่ได้ก็ไม่ได้เลวร้ายอะไรนะ แค่ไม่ใช่สีที่เลือกไว้ตอนแรกแค่นั้น😂,0
ความจริงแม่งก็เลวไม่ต่างกันมากหรอก,1
ยิ่งโตยิ่งเชื่อในประโยคที่ว่า "โลกแม่งจะสอนให้เราเลวขึ้น",0
อย่างน้อยช่วงเวลาที่เลวร้ายที่สุดในชีวิต มันทำให้เราได้เรียนรู้ว่าทุกปัญหามีทางออกเสมอ ไม่ว่าปัญหานั้นจะเล็กหรือใหญ่เพียงใด 🤞🏻🤞🏻,0
ไม่มีใครดีที่สุด ไม่มีใครเลวที่สุด ถ้ายังรู้จักกันไม่ถึงที่สุด😌,0
ทำดีมาทั้งชีวิต พลาดครั้งเดียวกลายเป็นเลวไม่มีชิ้นดี,0
คำพูดนี่มีพลังจริงๆคนที่พูดเอาดีเข้าตัวเอาชั่วให้คนอื่น ทั้งที่ฝ่ายดีก็ชั่วพอกัน แต่แค่ไม่มีคนเล่า คนก็มองว่าฝ่ายชั่วว่าเลวอยู่ฝ่ายเดียวละ,0
ผู้ชายคนนึงบนรถเมล์พูดว่าแฟนซื้อของให้บ่อยราคาแพงๆ ไม่ได้ดูน่าอิจฉานะ ดูเหี้ยอะ แมงดา,1
ถึงเป็นเหี้ยเป็นยักษ์ยังรักลูกมึงต้องถูกสาบแช่งแรงกว่าเหี้ยจิตใจเลวร้ายไม่ไหวจะเคลียร์อิหัวใจต่ำเตี้ยกว่าโคลตม#กูยังโกรธ,1
อีสิวเลว เหมือนรู้เลยนะว่าจะเปิดเทอมแล้ว แย่งกันขึ้นเชียว! ขอบคุณจ้ะ,0
ชอบแมงดาขนาดนี้ เป็นกะหรี่ป่ะจ๊ะ,1
สมเป็นหัวหน้าคนชั่ว.👍5555555,1
ใครที่ดูถูกว่ารับงาน ว่ากะหรี่ เชิญคุณดูถูกได้ตามสบายค่ะ คนเรามีโอกาสในชีวิตต่างกัน,0
งงตัวเองมากอ่ะ คือชอบคนเยอะมาก นี้กูเป็นกะหรี่ หรือยังไง5555  เด็กเกินจะเข้าใจความรักสิน่ะ,0
อยากกินปูผัดผงกะหรี่,0
กินแกงกะหรี่... เจอแกงเหลืองอ๋อย ติดหวาน ใส่มันฝรั่งและแครอท คำถามคือ นี่เป็นแกงสูตรประเทศอะไร,0
เข้าคณะวันนี้ทาปากสีชมพูด้วยคอนเซ็ปต์ถ่ายจากดาวอังคารต้องเห็นปากกูชัดคือโดนคนด่าว่าตอแหลเยอะมาก ดีใจมาก ยิ้มรับ ทาแล้วเลือดกะหรี่พุ่งพล่าน,0
อยู่ดีๆก็อยากกินข้าวแกงกะหรี่...ทำเองไม่เป็น ไปซื้อแบบสำเร็จรูปมากินละกัน,0
อยากกะหรี่ให้มากกว่ารุ่นพี่ที่ทำงานสุดท้ายกูเเพ้,1
ขนส่ง ยี่ห้อ กะหรี่ นี่ สู้ ไปรษณีย์ไทยไม่ได้เลยจริงๆ โทรถามทาง มันทุกครั้งที่จะมาส่ง = ='',1
ผู้ชายเกาะผู้หญิงกิน : แมงดา 😛,0
คำพูดที่มันทำให้ดูเป็นคนทัศคติต่ำไปเลย (สำหรับเรา) คือคำว่าประเทศเฮงซวย ประเทศกะลาแลนด์ ประเทศไม่ผิดอะไร คนในประเทศต่างหากที่ทำเรื่องเฮงซวย,0
บางคนความคิดก็ต่ำยิ่งกว่าสัตว์เซลล์เดียวอีก,0
แบ่งแยกแล้วมึงสูงขึ้นเหรอ? เปล่าค่ะ...ใจมึงอ่ะ_ต่ำ_มาก กศษ.ไม่ช่วยห่าไร เลวด้วยตัวเองล้วนๆ,1
ทุเรียนคือความชั่วร้าย,0
ทำไมบางคนถึงสนุกกับการทำตัวหยาบคายหรือพ่นคำหยาบคายในพื้นที่ของคนอื่นอ่ะ รู้เปล่าว่าความถ่อยมันไม่ได้เท่เลย มันต่ำเว้ย..,0
ดี ชั่ว อยู่ที่ ตัว ทำ สูง ต่ำ อยู่ ที่ ทำ ตัว... คน เรา ทำ อย่าง ไร ก็ ได้ อย่าง นั้น แหละ ...ฝืน ธรรม ชาติ ไม่ ได้ หรอก,0
ไม่มีใครรับในมุมที่แย่ที่สุด จุดต่ำสุด หรือความเลวร้ายที่สุดได้ นอกจากเพื่อน,0
คนอื่นอ่านออกเสียงในใจกันมั้ยมีเสียงสูง ต่ำ แผ่ว เบา เวลาอ่านทวิตรึเปล่า,0
ต่ำ ต่ำมากๆต่ำสุดๆถูกเลี้ยงมาแบบไหนอ่ะต่ำตมดีจัง,1
อุบาดชาติชั่วที่สุดต่ำตม twitter.com/signxseonho/st…,1
แต่งตัวไม่วาบหวิวมันก็ลวนลามค่ะ ความคิดแม่งชั้นต่ำ,1
เครื่องสักการบูชาของคนชั่วร้ายเป็นสิ่งน่าเกลียดน่าชัง เมื่อเขานำมาด้วยความตั้งใจชั่วจะยิ่งกว่านั้นสักเท่าใด fb.me/6vsjJtdy6,0
ฉันเกิดมาเพื่อเป็นแมงดา,1
ถึงพลอจะชั่ว เป็นแมวขโมย เห็นแก่กิน ชอบด่าและกากมาก แต่ก็อบอุ่นที่สุดเลยนะ,0
มึงมันเรด ฮึ่ย ไม่รู้จะด่ายังไงแล้ว ไอ้สารชั่ว pic.twitter.com/1sm8ZhLNtj,1
พวกชั่ว กูกลัวผีอะไม่ใช่กูส่องกระจก 😂,0
۞ อย่าดูหมิ่นความชั่วว่าเล็กน้อย คงจักไม่มีผลมาถึงตัว,0
มึงไม่ควรขอบคุณกูนะ มึงควรขอโทษ ที่พากูไปหลงและส่งไม่ถึงที่ แถมไปไม่ทันนัด คนชั่ว,1
ก็ทำงานส่งไห้มึงเรียน มึงเสือกทำตัวเหี้ยๆ กูอยากตบมึงเด้ อีน้องชั่วอีใจบาป 00000,1
กลิ่นแมงดาโคตรเฟคคคคค แงงงง ฉุนน,0
คราวนี้เอลไม่ทน เลยเดินตรงไปหาแม่งเลยแล้วถามว่านี่อะไร มึงหลอกเพื่อนกูหรอไอ้แมงดาแบบโรงอาหารคนมันเยอะอยู่แล้ว พอเสียงดังก็หันมองกัน555,1
อหเอ๊ย แมงดาด่าผู้ชายที่เกาะผู้หญิงแล้วผู้หญิงที่เกาะผู้ชายนี่เรียกว่าอะไร,1
วิธีดักแมงดาคือ ทำเป็นพูดว่าจนๆ แล้วเค๊าจะตีจากไปเอง,0
โอ๊ยย น่าสงสารมากอ่ะ ไม่ได้ชั่วโดยกำเนิด แต่ชั่วเพราะผู้เลี้ยงดู #มือปราบเจ้าหัวใจ,0
ไม่ต่างจากปลิง แมงดา เห็บเลยจ่ะ เป็นผช.ด้วยมาเกาะใช้ชื่อลูกงี้😠,1
อยากดัดสันดานน้องโดยการไม่จ่ายค่าเน็ตบ้าน  อิดอก มึงมันแมงดา คอยแต่ผลาญเงินเคยช่วยอะไรบ้างมั้ย,1
มื้อประหยัด ข้าวไข่เจียวน้ำพริกแมงดา น้ำพริกเอามาจากบ้าน ฟรี pic.twitter.com/oWfz77eF1n,0
หนี้ส่วนไหนของแม่กูก็ไม่ใช่ เสือกมาเกาะแม่กูอีก ทำงานถึงแค่เที่ยงจะเอา300 งง ประสาท แมงดา,1
ถ้าไม่มีกลิ่นแมงดาเราก็โอเคนะ 😅,0
กะว่าจะเป็นแมงดาไปตลอดชีวิตซะ,1
ขยะสามพันกว่าไฟล์อาศัยอยู่ในคอมฉัน pic.twitter.com/YwYGPNI3mp,0
กล้าพูดได้เต็มปาก ทุกวันนี้อยู่ด้วยใจล้วนๆ เงินเดือนเท่าเห็บหมา ทำงานเท่าปลาวาฬ โดนเอาเปรียบเท่าแปซิฟิก ดีดี๊,0
สนุกไหมกับการเป็นเห็บหมาดูดเลือดเนื้อคนอื่น ทำนาบนหลังคนเห็นใจกันบ้าง,1
เอาจริงนะ เป็นคนไม่ชอบดึงเห็บ เลี้ยงหมาจะป้องกันตลอด หยอดยาตามกำหนด น่ากลัวๆ fb.me/KW1l8zp6,0
หิวข้าว แต่ป้าหาเห็บหมาอยู่,0
เปนคนเกลียดเห็บและทาร์ซาน,0
สิวเม็ดเท่าเห็บหมา 😤🖕🏻,0
แสดงให้เต็มที่ให้สมกับความดีเลิศของว่าที่เจ้าสาวนาย เราบอกตรงนี้เรากับนายไม่มีทางมาลงเอยกันได้แน่นอน เพราะเราเกลียดเห็บเหาที่เกาะอยู่ข้างนาย,1
กูบอกตัวเองไว้ว่าจารีบนอนคืนนี้ ห่าราก มีเรื่องเห็บหมามาอีกกก !!!!,0
ฟรีไซส์สมัยนี้ก็ตัวเท่าเห็บหมา อก44แล้วบอกฟรีไซส์ แถวบ้านเรียกไซส์M-L,0
เงินเดือนยังกะเห็บหมา ให้งานกูมายังกะโคลงช้าง #มนุษย์เงินเดือน,0
ผู้ชายเจ้าชู้ก็เหมือนกับเห็บหมานั้นแหละ #น่าขยะแขยง 🙄,1
ยาหรือเห็บหมาอ่ะหมอ เม็ดจะใหญ่ไปไหนอ่ะ กลัวหนูไม่อิ่มหรอ,0
เห็บหมานี่แม่งหายตัวได้รึไงวะ โอ้ยย เลี้ยงกะไม่ได้เลี้ยง(หมา) อ๊ากกก แล้วต้องเดินส่องตามพื้นห้อง อิเหี้ยยยย,0
ไฟติด​ ปลวกไม่ขึ้น​ โอเคใช้งานได้​ 😆 pic.twitter.com/7IfDJRhb8Z,0
เข้าไอจีตัวเองก็มีแต่รูปของกิน ลงเองหิวเองอีปลวกกก,0
ซ่อนความหน้าปลวกภายใต้หน้ากาก😛 pic.twitter.com/V9hCZq5om1,0
น้ำหยดลงหินทุกวันหินยังกร่อย ปลวกกัดไม้ทุกวันไม้ยังผุ,0
ถ้าจะว่าแบบนั้นก็แล้วแต่ คนของเราได้การยอมรับมากมาย แล้วฉันจะให้ค่ามดปลวกที่เก่งแต่หน้าคีย์บอร์ดทำไม,1
สูบบุหรี่บ้านมึงลมพัดมาบ้านกู .... โอเคบ้านกูฉีดปลวกไปทางบ้านมึงที่ๆพวกมึงนั่งเลย .... หายกัน .,0
เกลียดมึงยิ่งกว่าไส้เดือนกิ้งกือด่ากูอีปลวกอีกสิ เอาสิ แก้แค้นที่กูด่ามึงกับเมียว่าตอแหลอะ จะโกรธกูทำไม ก็มึงสองคนตอแหลลงตับจริง ๆอิเหี้ย555,1
วันนี้เลิกงานกลับบ้านเร็ว มีฉีดปลวก เราไม่ใช่ปลวก เราจึงต้องกลับบ้าน,0
เจอเม้นท์แย่ๆ จากปลวก หรือจากติ่งด้วยกันเองใน IG แนะนำให้บล๊อคแล้วลบทิ้ง เพราะมันมีนักข่าวชุ่ยๆนั่งส่องแท็กแล้วแคพไปเขียนข่าวด่าทั้งด้อม 🙄,1
งานเมื่อวานทำไม่ได้ วันนี้ทำได้ชิวๆคำคม งานเร็วแต่ปลวก หรือจะสู้งานช้าแต่เป๊ะ,0
ฉีดปลวกอะไรกันแต่เช้าวะเนี่ย,0
ละจะบอกให้พัฒนานี่ก็บอกแค่พัฒนากีฬานั้นก็พอป่ะ ไม่ใช่มาแซะกีฬาอื่นว่าเปลืองงบ ประสาทแดกเหรอ,1
แต่ถ้าหากว่าคุณไม่แม้แต่จะรู้ตัวเลยว่าคุณน่ะผิดแล้วยังจะโวยวายโน้นนี่นั่นอิฉันว่าคุณก็ไม่ต่างอะไรกับขยะสังคมนะคะ โวยวายไร้เหตุผล สติมาค่ะ!!,1
นี่คนนะไม่ใช่ถังขยะ ทำไมวันนี้ชอบเหวี่ยงนี่กันจัง เป็นฝ่ายถูกนะเนี่ย,0
ฝีมือการทำอาหารนั้นใกล้ละ ใกล้ละ ใกล้ถังขยะแล้วเททิ้งได้ไม่ว่ากัน#ควรไปเข้าคอร์สทำอาหาร 😂,0
อยู่ห้องร่วมกัน แชร์ห้องกัน ความสะอาดก็ต้องดูปะวะ ขยะในห้องมันเต็มก็ช่วยแบกไปทิ้งด้วยดิ กูเก็บให้ละต้องเอาไปทิ้งให้อีกหรอ กูไม่ทิ้งนะอีเหี้ย,0
น่าเกลียดวะ คะแนนก็ไม่ได้เหมือนกันให้กูไปทิ้งขยะคนเดียว ทุเรส เห็นแก่ตัว,1
จะเผาพริกเผาเกลือแช่งอิพวกขยะแอนตี้ให้หมดเลย เกลียดมันนนนน /ร้องไห้แล้วเนี่ย,1
ไม่ผิดที่เราจ้ะเลือก ขอแค่เรามีความสุขในสิ่งที่เเป็น และไม่เป็นขยะสังคมก็พอ #✌️ 1-800-273-8255 fb.me/8veADsBnr,0
แต่ไม่ปฏิเสธว่ายังเป็นคนประสาทแดกเหมือนเดิม,1
พูดใส่คนอื่น คนอื่นหน้าเสียก็ไม่สนใจ พอคนอื่นพูดใส่ทำเป็นรับไม่ได้ ประสาท,1
กลัวทุกคนจะจิตตามคนเขียน คนเขียนจิตตามฆาตกรไปแล้วค่ะ ใกล้ประสาทแล้ว 😂,0
หลอกขายของปลอมคนอื่นแล้วยังนิ่ง หน้าด้านไปป่าว,1
อย่ามัวเอาแต่ด่า ถามตัวเองก่อนว่าทำหน้าที่ของตัวเองให้ดีรึยัง เอาแค่ทิ้งขยะลงถัง ข้ามสะพานลอยข้ามทางม้าลาย ง่ายๆงี้ทำกันปะ #มือปราบเจ้าหัวใจ,0
นี่ก็ไม่รู้ควรไปหาหมออะไรก่อน ระหว่างหมอเส้นประสาทกะจิตแพทย์,0
หมอให้ยาระงับประสาทตัวนึงมา กินเข้าไปอาการนั้นดันเป็นหนักกว่าเดิม แถมยานอนหลับก็ไม่ได้ผลแล้วด้วย,0
โครตเหี้ย โครตผี โอ้ยย ปวดประสาทกับอีพวกนี้ปัญญาอ่อนเหี้ยๆ แพ้แล้วก็ทำวิธีพวกแพ้ต่อไป เจริญจ้า,1
เมื่อวานห้องข้างล่างเสียงดังมากทั้งคืนจนนอนไม่ได้ เช้านี้รูมเมทเลยแก้แค้นด้วยการเดินปึงปังลงส้นไปทั่วบ้านแต่เรานี่ล่ะจะประสาทกินก่อน โว้ย!,0
ทั้งบ้านมีอย่างเดียวที่คุยกันได้คือเรื่องการเมือง นอกนั้นนะ เถียงกันให้ตายไปข้าง ทัศนคติการใช้ชีวิตนี่พังมาก น่าพาไปตรวจประสาทซักหน่อย 🤔,0
กูคงเป็นพวกประสาทกลับแล้วแน่ๆ นานแล้วด้วยใช่ๆ,1
... นั่นไง จุดเริ่มต้นของเรา // จุดเริ่มต้นส้นตีนไรมึง อิควาย กุไม่ตอบแถมบล็อคเลยขร่ รำคาน ถ้าได้คบกันจิงกุคงประสาทแดก ไม่เอาอ่ะ,1
โอ้ยยย กูเกลียดมึงจริงๆ อิกระเทยดอกกทอง ไปอยู่ไหนไม่ได้หรอกมึงอ้ะ เอาแต่ใจตัวเองขนาดนี้ ประสาท!!,1
โชคดีจัง วันนี้ไม่มีคนขาดเวร โชคร้ายจังมาถึงก็เดินไปเปิดห้องเอายาห้องอื่นเลย,0
แล้วเป็นกูที่ถูกทิ้งใช่ไหมช่ะ อีเวร ตลอดเวลาอ่ะ เพราะฉะนั้นก็ไม่ต้องถามหรอกว่าทำไมกูไม่เปิดใจอ่ะ,1
ไม่ชอบประโยคที่ว่า ถ้าเราดีเขาจะไปมีคนอื่นหรอ เอ้าอีเวร ก็ถ้ากูดีแล้วมันเหี้ยหล่ะ แฟนไม่ดีก็เลิกแล้วค่อยเริ่มใหม่สิจ้ะ อย่าอ้างเยอะ,0
อีนาย อีเวร กูขอแช่งให้มึงอ้วนเป็นหมูแบบนี้ตลอดไป ขอให้มึงไม่มีผัว ขอให้แม่มึงรู้ว่าเมิงเปงตุ้ด!!! อีห่า อีคนเฬว2017  @NINE_P12,1
เป็นเวรดึกที่ทรมานเหี้ยๆ ตานี่แดงก่ำหมดแล้ว ง่วงมาก ยิ่งดึกคนไข้ก็ทยอยเข้าห้องผ่าตัดเรื่อยๆเหมือนเดินพาเหรดเลยจ้ะ รู้ตัวอีกที เช้าแล้ว,0
เบื่อ เบื่อที่กูต้องตรงกับความคิดเหี้ยๆของมึง ไม่ตรงคือกูตอแหล บ้าป่าว ประสาท #ยืมเมจfortalk,1
ฮืออออ ไม่ได้ไปนิ แลกเวรใครไม่ได้เลยนิ 😩,0
หันมาเล่นทวิตแป๊บเดียวคุกกี้แทบไหม้หมดเตา อีเวร!!!!,0
มึงก็เสือกแม่งทุกเรื่องเนาะ อิเวร,1
ยุง มึงก็แดกแต่เลือดกูนี่หละเนอะมึงไม่เบื่อรสชาติน้ำเลือดกูบ้างหรอ เปลี่ยนเป็นคนอื่นบ้าง ยุงเวร!,0
มึงจะไม่ได้ตายดีแน่นอน เพราะว่ากูตามตัวมึงไวกว่าเวรกรรม,1
เงื่อไขที่โหรชั่วนี่มันสร้างขึ้นทั้งนั้น เวรกรรมมันมีจริง ต่อให้อยู่ในชุดหัวโขนก็เถอะ twitter.com/shutup2557/sta…,1
ยิ่งทำก็ยิ่งงง แบบจำลองการสื่อสาร หรือสูตรคณิต เอาเป็นว่า ตามความเข้าใจ แล้วกัน ส่วนคะแนนก็แล้วแต่เวรแต่กรรม😵😵😵,0
คะแนนเก้บก็ไม่มี มีแต่คะแนนสอบแล้วยังบังคับเด็กมาเรียนวันเสาร์อีก อีเวร,1
2อาทิตย์กับการไม่มีโทรศัพท์ใช้ กูควรู้สึกยังไงดีอีดอกกกกก,0
ถึงเธอจะล็อคแอคเราก็จะสาปแช่งเธอ อิดอก ปล่อยกะเวลามากมั้ยมึง,1
อังกฤษโทอิคกับกพนี่ความยากฟ้ากับเหวมากอะอีดอกก เสียดายยเงินนนนน😭,0
ควายแท้ๆ ลืมโทรศัพท์ไว้บนโต๊ะทำงาน แถมชาร์จแบตไว้อีก จ้าาาาา จะไม่ไปเอาก็ไม่ได้อีกกลัวระเบิดชั้น 7 เป็นไงเพิ่งถึงบ้าน เอดอกกกกกกกกก,0
อีดอกกกก เขามีแฟนแล้วจริงด้วย ดีนะตอนนี้ยังแค่วี๊ดเฉยๆ โอ้ยยยย 😂,0
อีดอกหัวร้อย สมาธิไม่มีทำงานละ ห่วงของ หลายเงินนะนั่น ละไปส่งไหน อีหอกกก,0
งอแงกับอ้อนตีนไม่เหมือนกันนะอีดอกทอง,1
สั่งของไปนานแล้วนะแต่ยังไม่เห็นเลขแทรคกิ้ง อิดอกกกร้านก็ใหญ่คนก็ซื้อเยอะแต่เสือกไม่ส่งของให้กู ว้อทท! อย่าให้กูแหกกกก,1
มาให้ความรู้สึกดีๆเเล้วก็มีผัว อีดอกหลอกกู,1
กูจะปาอีสายชาตแบตละอีเวรดอกทอง,1
คนเคยแรดอะมันมองออกนะว่าคนนี้ดอกทอง หรือดอกไม้เฉยๆ,1
ละจะให้กูรอทำไม อีดอก ละก็ไม่พูดว่า11โมง ตอนแรกบอก10 อีเด็กตอแหล,1
มีแต่เงินจริงๆ สมองของเธอมันมีแต่ขี้เลื่อยสินะ แถมยังจะใจกล้าหน้าด้านพูดสิ่งที่ตัวเองคิดประจานความเสื่อมทางสมองของตัวเองให้โลกรู้อีก ทุเรศ,1
เห็นแก่ตัวอีหน้าด้านกุเกลียดมึงที่สุดดคนเหี้ยๆคิดจะหาแต่ผลประโยชน์ สมองตัวเองหัดใช้สะมั่ง ภูมิใจต่อไปเนอะอีกวง😏,1
ทำอะไรที่มันโปร่งใส่ไร้ยุติธรรมกับเด็กๆบ้างไม่ได้หรือไง หรือทำแล้วจะตาย เงินก็เข้ากระเป๋าเยอะขนาดนี้แล้ว ยังหน้าด้านคิดเอาเปรียบเด็กๆอีก,1
เศรษฐกิจยุคโจรปล้นชาติ เกาะแดรกภาษีประชาชนอย่างหน้าด้าน ๆ พวกมันเจริญกันฝูงเดียว twitter.com/TonyVeerin/sta…,1
ไม่มีใครซื้อก็จะหน้าด้านขาย,1
ซ่อมยังไม่ผ่านยังมีหน้าไปแข่งบัญชี ซ่อมให้รอดก่อนมั้ยยยย แล้วยังหน้าด้านได้รางวัลชมเชยอีกนะมึงงง 5555555555 คนที่เก่งกว่าแม่งไม่ได้อ่ะ โอ้ย,1
กูนี่มันหน้าด้านจริงๆเลย,0
กิจกรรมที่ทำแต่ละอย่างไม่ได้บ่งบอกถึงคณะที่ยื่นเลย แต่ก็จะหน้าด้านยื่นไป555555,0
เบื่ออ่ะอีดอก เป็นเหี้ยอะไรวะ,0
